公司名称,法人,登记状态,成立日期,统一社会信用代码,注册资本,实缴资本,工商注册号,纳税人识别号,组织机构代码,行业,注册地址,经营范围
瑞萨集成电路设计（北京）有限公司,李军,存续,2001/8/16,91110108600091671L,700万美元,700万美元,1.10E+14,91110108600091671L,60009167-1,-,北京市海淀区上地八街7号院7号楼1层101-T02,开发、设计半导体产品（包括MCU、ASIC、混合信号IC、系统LSI、存储器IC、分立器件、解决方案）；开发、设计集成电路产品相关软件；电子电路系统集成；技术服务、技术转让、技术咨询；销售自行设计的产品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京电子城集成电路设计服务有限公司,姜南,存续,2020/6/18,91110105MA01T2AD1J,2500万人民币,2500万人民币,1.10E+14,91110105MA01T2AD1J,MA01T2AD-1,软件和信息技术服务业,北京市朝阳区东直门外西八间房万红西街2号22幢一层106,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；销售代理；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；非居住房地产租赁；数据处理服务；数据处理和存储支持服务；信息技术咨询服务；科技中介服务；信息咨询服务（不含许可类信息咨询服务）；会议及展览服务；市场调查（不含涉外调查）；市场营销策划；企业形象策划；贸易经纪；企业管理咨询；供应链管理服务；软件开发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：基础电信业务；第一类增值电信业务；第二类增值电信业务；互联网信息服务；检验检测服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京中关村芯创集成电路设计产业投资基金（有限合伙）,,存续,2019/12/18,91110108MA01PDGQ4W,,2000万人民币,1.10E+14,91110108MA01PDGQ4W,MA01PDGQ-4,资本市场服务,,非证券业务的投资管理、咨询、项目投资、资产管理。（不得从事下列业务：1、发放贷款；2、公开交易证券类投资或金融衍生品交易；3、以公开方式募集资金；4、对所投资企业以外的其他企业提供担保；5、向投资者承诺投资本金不受损失或者承诺最低收益；6、本市产业政策禁止和限制类项目的经营活动。）（“1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益”；企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
北京沐创集成电路设计有限公司,王汉宁,存续,2020/3/4,91110108MA01Q7PM8A,50万人民币,-,1.10E+14,91110108MA01Q7PM8A,MA01Q7PM-8,软件和信息技术服务业,北京市海淀区中关村东路8号东升大厦AB座9层905D单元,计算机系统服务；集成电路领域内的技术开发、技术服务、技术转让；软件开发；软件咨询；销售计算机、软件及辅助设备（不得从事实体店铺经营）。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京芯欣集成电路设计有限公司,李婉悦,存续,2024/3/6,91110400MADD7DCU85,200万人民币,-,1.10E+14,91110400MADD7DCU85,MADD7DCU-8,软件和信息技术服务业,北京市北京经济技术开发区荣华中路8号院9号楼7层805,一般项目：集成电路设计；集成电路制造；集成电路销售；集成电路芯片及产品制造；集成电路芯片设计及服务；集成电路芯片及产品销售；半导体分立器件销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息技术咨询服务；信息系统集成服务；信息系统运行维护服务；计算机及办公设备维修；计算机软硬件及辅助设备零售；工业控制计算机及系统销售；企业管理咨询；市场营销策划；技术进出口；货物进出口；电子产品销售；软件销售；金属材料销售；仪器仪表销售；软件开发；电子专用设备销售；电子专用材料销售；电子元器件制造；电子元器件批发；光电子器件销售；工业自动控制系统装置制造；特种陶瓷制品销售；办公设备耗材销售；办公设备耗材制造；云计算设备销售；信息安全设备销售；可穿戴智能设备销售；家用电器零配件销售；配电开关控制设备销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京中电华大电子设计有限责任公司,常峰,存续,2002/6/6,9.11E+17,44680万人民币,44680万人民币,1.10E+14,9.11E+17,73935074-6,-,北京市朝阳区利泽中二路2号A座六层,集成电路、软件产品、整机产品的设计、开发、委托加工、批发；与上述产品相关的技术咨询、技术转让；货物进出口；技术进出口；（以上不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请；）。（该企业于2009年11月03日由内资企业变更为外商投资企业。依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动。）
北京奎芯集成电路设计有限公司,宫芳,存续,2022/1/21,91110108MA7G471A3R,1000万人民币,713.3082万人民币,1.10E+14,91110108MA7G471A3R,MA7G471A-3,计算机、通信和其他电子设备制造业,北京市海淀区中关村南大街2号1号楼4层A座501,一般项目：集成电路设计；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；集成电路芯片设计及服务；集成电路芯片及产品销售；集成电路销售；货物进出口；技术进出口；半导体器件专用设备销售；半导体分立器件销售；电子元器件零售；电子元器件批发；国内贸易代理；贸易经纪；数据处理服务；人工智能行业应用系统集成服务；人工智能硬件销售；人工智能通用应用系统；可穿戴智能设备销售；信息系统集成服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京士兰集成电路设计有限公司,吴建兴,存续,2024/5/11,91110107MADKJ1996Y,100万人民币,-,1.10E+14,91110107MADKJ1996Y,MADKJ199-6,-,北京市石景山区五一剧场南路2号院1号楼7层703B室,一般项目：集成电路设计；集成电路芯片及产品销售；集成电路销售；半导体分立器件销售；电力电子元器件销售；光电子器件销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；电子产品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京天宜微集成电路设计有限公司,孙丽娜,存续,2020/12/14,91110105MA01Y2A7X2,588.2万人民币,15万人民币,1.10E+14,91110105MA01Y2A7X2,MA01Y2A7-X,软件和信息技术服务业,北京市朝阳区东直门外西八间房万红西街2号21幢二层C1218号房屋,一般项目：集成电路设计；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；电子产品销售；计算机软硬件及辅助设备批发；货物进出口；技术进出口；进出口代理；软件开发；人工智能基础软件开发；人工智能应用软件开发；计算机系统服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京艾芯集成电路设计有限公司,张春朋,存续,2018/10/25,91110116MA01F8HR0P,10万人民币,-,1.10E+14,91110116MA01F8HR0P,MA01F8HR-0,软件和信息技术服务业,北京市大兴区魏善庄镇东礼路半壁店路口向西50米路北2017号平房,集成电路设计、技术开发、技术转让、技术咨询、技术服务；电脑图文设计、制作；广告设计、制作、代理、发布；软件开发；会务服务；展览展示服务。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
北京忆芯科技有限公司,沈飞,存续,2015/11/23,91110108MA0021P69M,5000万人民币,2069.66884万人民币,1.10E+14,91110108MA0021P69M,MA0021P6-9,科技推广和应用服务业,北京市海淀区丰豪东路9号院2号楼4单元907,集成电路芯片、电子元器件、半导体科技、智能科技、电子科技、信息科技的技术开发、技术转让、技术咨询、技术服务、技术推广；集成电路设计；软件开发；计算机系统服务；销售自行开发后的产品；经济贸易咨询；企业管理咨询；货物进出口、技术进出口、代理进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京赛微电子股份有限公司,杨云春,存续,2008/5/15,91110000675738150X,73221.3134万人民币,18121.5223万人民币,1.10E+14,91110000675738150X,67573815-0,软件和信息技术服务业,北京市西城区裕民路18号北环中心A座2607室(德胜园区),微电子器件、半导体器件、集成电路及配套产品的技术开发、技术服务、软件开发、技术咨询；产品设计；集成电路设计；制造电子计算机软硬件；销售微电子器件、半导体器件、通讯设备及其系统软件、计算机软件、电子计算机及其辅助设备、电子元器件；货物进出口，技术进出口，代理进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京集成电路设计与封测股权投资中心（有限合伙）,,存续,2014/9/25,9111010831792288XB,,-,1.10E+14,9111010831792288XB,31792288-X,商务服务业,,投资管理；资产管理；投资咨询；项目投资。（“1、未经有关部门批准，不得以公开方式募集资金；2、不得公开开展证券类产品和金融衍生品交易活动；3、不得发放贷款；4、不得对所投资企业以外的其他企业提供担保；5、不得向投资者承诺投资本金不受损失或者承诺最低收益”；企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
长存创芯（北京）集成电路设计有限公司,霍宗亮,存续,2019/8/8,91110108MA01LYBF87,5000万人民币,5000万人民币,1.10E+14,91110108MA01LYBF87,MA01LYBF-8,软件和信息技术服务业,北京市海淀区知春路7号致真大厦B座8层801号,集成电路及相关产品的技术开发、技术推广、技术转让、技术咨询、技术服务；产品设计；销售自行开发的产品、电子产品；货物进出口、技术进出口。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
北京沃芯集成电路设计有限公司,周红卫,存续,2020/12/7,91110302MA01XUH168,10000万人民币,1682.508879万人民币,1.10E+14,91110302MA01XUH168,MA01XUH1-6,软件和信息技术服务业,北京市北京经济技术开发区荣昌东街甲5号3号楼2层201-11,集成电路设计；半导体、集成电路、电子元器件、计算机软硬件的技术开发、技术服务、技术咨询、技术转让；销售电子产品、电子元器件、计算机、软件及辅助设备；货物进出口、技术进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
京微齐力（北京）科技股份有限公司,王海力,存续,2017/6/12,91110302MA00F7RU5X,3086.0241万人民币,2786.6384万人民币,1.10E+14,91110302MA00F7RU5X,MA00F7RU-5,科技推广和应用服务业,北京市北京经济技术开发区科谷一街8号院5号楼6层601(北京自贸试验区高端产业片区亦庄组团),技术开发、技术服务、技术转让、技术咨询（人体干细胞、基因诊断与治疗技术开发和应用除外）；集成电路设计、芯片设计、软件设计、产品设计；计算机系统服务；货物进出口、代理进出口、技术进出口；销售电子产品、计算机、软件及辅助设备。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
瑞萨电子（中国）有限公司,赖长青,存续,1998/6/12,91110108700002605N,3854万美元,3854万美元,1.10E+14,91110108700002605N,70000260-5,计算机、通信和其他电子设备制造业,北京市海淀区上地八街7号院7号楼1层101-T01,设计、开发、委托第三方制造及销售半导体产品；设计、开发、销售半导体产品相关软件；提供自主研发的半导体产品、相关软件及其他电子部件集成的电子电路系统集成；上述产品的技术推广；提供上述产品及网络科技、计算机科技、通讯科技、信息科技、电子科技领域内的相关的技术开发、技术支持、技术咨询、技术服务和技术交流；上述产品同类的商品批发及其进出口业务；上述商品的佣金代理（拍卖除外）；上述批发业务相关的配套业务；市场营销策划；工业设计服务；信息系统集成服务；信息技术咨询服务；软件开发；集成电路设计；集成电路芯片设计及服务。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京集创北方科技股份有限公司,张晋芳,存续,2008/9/3,91110108679604408D,43106.5156万人民币,43106.5156万人民币,1.10E+14,91110108679604408D,67960440-8,-,北京市北京经济技术开发区景园北街2号56幢8层801(北京自贸试验区高端产业片区亦庄组团),技术开发、技术推广、技术转让、技术咨询、技术服务；集成电路设计；计算机技术培训；销售电子产品、器件和元件、计算机、软件及辅助设备、灯具、五金交电、自行开发后的产品；货物进出口、技术进出口、代理进出口；专业承包。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京仪乐集成电路设计有限公司,张书红,存续,2018/9/27,91110112MA01EUQ288,10万人民币,-,1.10E+14,91110112MA01EUQ288,MA01EUQ2-8,软件和信息技术服务业,北京市顺义区信达路17号院4号楼4层422室,产品设计；电脑图文设计、制作；设计、制作、代理、发布广告；技术推广、技术服务、技术开发、技术转让、技术咨询；软件开发；计算机系统集成；计算机系统服务；基础软件服务、应用软件服务（不含医用软件）；数据处理；承办展览展示；企业管理咨询；企业策划；出租商业用房、办公用房（不得作为有形市场经营用房）。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本区产业政策禁止和限制类项目的经营活动。）
,,,2012/3/13,81110108592375980D,,,,,,工会,,
北京心爱芯集成电路设计有限公司,薛华,存续,2020/6/5,91110116MA01RQ7Q38,200万人民币,-,1.10E+14,91110116MA01RQ7Q38,MA01RQ7Q-3,软件和信息技术服务业,北京市大兴区魏善庄镇东礼路半壁店路口向西50米路北2016号平房,工业设计服务；计算机系统服务；会议服务；翻译服务；专业设计服务；技术开发、咨询、交流、转让、推广、服务；软件开发；企业管理咨询；承办展览展示活动；图文设计、制作；电脑动画设计。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
大唐半导体设计有限公司,周文娟,存续,2014/2/25,91110108085452101Y,153201.4471万人民币,98742.4471万人民币,1.10E+14,91110108085452101Y,08545210-1,软件和信息技术服务业,北京市海淀区永嘉北路6号5幢3层西北侧,集成电路设计；计算机系统集成；集成电路专业领域内的技术开发、技术转让、技术服务、技术咨询；销售电子产品、计算机软硬件及其辅助设备、通讯设备、仪器仪表；货物进出口、技术进出口、代理进出口；工程勘察设计；物业管理。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本事产业政策禁止和限制类项目的经营活动。）
北京芯光天地集成电路设计有限公司,吴建军,存续,2003/1/28,91110108746707264N,2000万人民币,2000万人民币,1.10E+14,91110108746707264N,74670726-4,科技推广和应用服务业,北京市朝阳区农展馆南路13号19层2201室,生产销售商用密码产品；技术开发。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
,,,2006/5/10,81110108787757073F,,,,,,工会,,
沐曦科技（北京）有限公司,陈维良,存续,2021/1/11,91110108MA01YQ565L,10000万人民币,9260万人民币,1.10E+14,91110108MA01YQ565L,MA01YQ56-5,科技推广和应用服务业,北京市北京经济技术开发区科谷一街10号院6号楼3层306-4室,技术开发、技术咨询、技术转让、技术服务；软件开发；货物进出口、技术进出口；集成电路设计；销售电子产品、电子产品、计算机、软件及辅助设备。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
高拓讯达（北京）微电子股份有限公司,曾朝煌（ZENG CHAOHUANG）,存续,2007/5/29,91110108662151975E,14007万人民币,13415.9335万人民币,1.10E+14,91110108662151975E,66215197-5,软件和信息技术服务业,北京市海淀区王庄路1号院2号楼8层A1、A2、D号,研究、开发无线通讯设备及技术；集成电路设计；集成电路芯片设计及服务；软件开发；信息系统集成服务；提供技术服务、技术咨询、通讯技术培训；货物进出口、代理进出口、技术进出口；委托加工生产自行开发的产品；技术开发、技术转让；销售自行开发的产品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
晶能紫芯集成电路设计（北京）有限公司,赵蓉,存续,2017/7/11,91110302MA00G6P85F,50万人民币,-,1.10E+14,91110302MA00G6P85F,MA00G6P8-5,软件和信息技术服务业,北京市北京经济技术开发区经海六路3号院1号楼12层1221,技术开发、技术咨询、技术转让、技术服务、技术培训；产品设计；销售电子产品、电子元器件；计算机系统集成；商务信息咨询；承办展览展示活动；会议服务；物业管理；货物进出口、技术进出口。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
北京豪威科技有限公司,王崧,存续,2015/7/15,91110108336413677B,129750万美元,129750万美元,1.10E+14,91110108336413677B,33641367-7,科技推广和应用服务业,北京市北京经济技术开发区荣华中路22号院3号楼8层802-2,技术转让、技术咨询、技术服务；集成电路设计；软件开发；销售计算机软件及辅助设备、通讯设备、机械设备、电子产品；货物进出口、技术进出口、代理进出口；企业管理咨询；出租商业用房。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
北京麦哲科技有限公司,范国强,存续,2008/7/22,91110108678200153L,3860.7594万人民币,3860.7594万人民币,1.10E+14,91110108678200153L,67820015-3,软件和信息技术服务业,北京市海淀区软件园信息中心三层B306,开发、生产计算机图片识别及文字识别软、硬件产品；技术咨询、技术服务；计算机技术培训；货物进出口；技术进出口；代理进出口；销售自产产品。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
无锡沐创集成电路设计有限公司北京分公司,王汉宁,存续,2021/1/4,91110108MA01YJKE77,-,-,1.10E+14,91110108MA01YJKE77,MA01YJKE-7,软件和信息技术服务业,北京市海淀区中关村东路8号东升大厦AB座九层906A单元,集成电路设计；集成电路领域内的技术开发、技术服务、技术咨询、技术转让；软件开发；销售电子产品；企业管理咨询。（市场主体依法自主选择经营项目，开展经营活动；以及依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）
恩智浦强芯（天津）集成电路设计有限公司,Ronald Michael Martino,存续,2002/9/18,91120116741382974N,1020.4082万美元,1000万美元,1.20E+14,91120116741382974N,74138297-4,软件和信息技术服务业,天津经济技术开发区第四大街八十号天大科技园A1座三层,集成电路芯片及其他半导体产品的设计、开发、销售，软件产品的开发、生产、销售；并提供相关服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。（不得投资《外商投资准入负面清单》中禁止外商投资的领域）。
唯捷创芯（天津）电子技术股份有限公司,孙亦军,存续,2010/6/2,9112011655651308XJ,41816.5234万人民币,2488.722万人民币,1.20E+14,9112011655651308XJ,55651308-X,-,天津开发区信环西路19号2号楼2701-3室,集成电路的设计咨询、研发、测试、销售及相关技术服务；自营和代理各种货物进出口、技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）（不得投资《外商投资准入负面清单》中禁止外商投资的领域）
飞腾信息技术有限公司,刘眉玄,存续,2014/8/21,9.11E+17,74906.370788万人民币,68239.700788万人民币,1.20E+14,9.11E+17,30045799-3,软件和信息技术服务业,天津市滨海新区海洋高新技术开发区信安创业广场5号楼,集成电路和计算机信息系统设计、集成、生产、测试和销售；计算机软件设计、开发和销售；集成电路设计服务和计算机软件开发服务；信息系统工程技术服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
井芯微电子技术（天津）有限公司,朱珂,存续,2020/5/22,91120116MA071HBY3C,682.9102万人民币,632.8125万人民币,1.20E+14,91120116MA071HBY3C,MA071HBY-3,科技推广和应用服务业,天津经济技术开发区信环西路19号2号楼2203-1室,一般项目：集成电路销售；集成电路芯片及产品销售；集成电路芯片设计及服务；集成电路设计；网络设备销售；软件开发。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。
华芯拓远（天津）科技有限公司,陈东华,存续,2020/10/20,91120116MA075M588Y,8000万人民币,3190万人民币,1.20E+14,91120116MA075M588Y,MA075M58-8,软件和信息技术服务业,天津经济技术开发区南海路156号通厂30号厂房东侧,一般项目：集成电路设计；电子元器件与机电组件设备制造；电子元器件与机电组件设备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；仪器仪表制造；智能车载设备制造；卫星移动通信终端销售；导航终端销售；集成电路芯片及产品销售；集成电路芯片设计及服务；集成电路芯片及产品制造；集成电路销售；卫星技术综合应用系统集成；卫星移动通信终端制造。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。
